Eng. No.,Eng. Description,Eng. Phase,Phase Description,Client No.,Client Name,Personnel No.,Employee Name,Staff Level,Work Date,difference between when work was done and when it was logged,Time Entry Date,Posting Date,Hours,Charge-Out Rate,Std. Price,Adm. Surcharge,surchage as a percentabe of std price,posting vs time entry is different flag,EV calculation
2001920365,Neptune,000010,Mars,1000017023,Company X,00014523,Alice Dupont,SPECIALIST/SENIOR CONSULT,12/5/2024,1,12/6/2024,12/6/2024, 1.00 ,210,210,12.6,6.00%,0,
2001920365,Neptune,000010,Mars  ,1000017023,Company X,00014523,Alice Dupont,SPECIALIST/SENIOR CONSULT,12/6/2024,0,12/6/2024,12/6/2024, 2.50 ,210,525,12.6,2.40%,0,
2001920365,Neptune,000010,Mars  ,1000017023,Company X,00014524,Bastien Lefèvre,SPECIALIST/SENIOR CONSULT,1/30/2025,0,1/30/2025,1/30/2025, 7.50 ,196,1470,11.76,0.80%,0,
2001920365,Neptune,000010,Mars  ,1000017023,Company X,00014525,Camille Moreau,MANAGER,12/3/2024,55,1/27/2025,1/27/2025, 0.50 ,274,137,16.44,12.00%,0,
2001920365,Neptune,000010,Mars  ,1000017023,Company X,00014525,Camille Moreau,MANAGER,12/4/2024,54,1/27/2025,1/27/2025, 2.00 ,274,548,16.44,3.00%,0,
2001920365,Neptune,000010,Mars  ,1000017023,Company X,00014525,Camille Moreau,MANAGER,12/5/2024,53,1/27/2025,1/27/2025, 1.00 ,274,274,16.44,6.00%,0,
2001920365,Neptune,000010,Mars  ,1000017023,Company X,00014525,Camille Moreau,MANAGER,12/6/2024,52,1/27/2025,1/27/2025, 2.00 ,274,548,16.44,3.00%,0,
2001920365,Neptune,000010,Mars  ,1000017023,Company X,00014525,Camille Moreau,MANAGER,12/13/2024,6,12/19/2024,12/19/2024, 0.50 ,274,137,16.44,12.00%,0,
2001920365,Neptune,000010,Aquilon,1000017023,Company X,00014526,Damien Girard,SENIOR MANAGER,1/6/2025,21,1/27/2025,1/27/2025, 5.00 ,388,1940,23.28,1.20%,0,
2001920365,Neptune,000010,Aquilon,1000017023,Company X,00014526,Damien Girard,SENIOR MANAGER,1/7/2025,20,1/27/2025,1/27/2025, 5.00 ,388,1940,23.28,1.20%,0,
2001920365,Neptune,000010,Aquilon,1000017023,Company X,00014526,Damien Girard,SENIOR MANAGER,1/8/2025,19,1/27/2025,1/27/2025, 5.00 ,388,1940,23.28,1.20%,0,
2001920365,Neptune,000010,Aquilon,1000017023,Company X,00014526,Damien Girard,SENIOR MANAGER,1/9/2025,18,1/27/2025,1/27/2025, 5.00 ,388,1940,23.28,1.20%,0,
2001920365,Neptune,000010,Aquilon,1000017023,Company X,00014526,Damien Girard,SENIOR MANAGER,1/10/2025,17,1/27/2025,1/27/2025, 5.00 ,388,1940,23.28,1.20%,0,
2001920365,Neptune,000010,Aquilon,1000017023,Company X,00014526,Damien Girard,SENIOR MANAGER,1/13/2025,14,1/27/2025,1/27/2025, 5.00 ,388,1940,23.28,1.20%,0,
2001920365,Neptune,000010,Aquilon,1000017023,Company X,00014526,Damien Girard,SENIOR MANAGER,1/14/2025,13,1/27/2025,1/27/2025, 5.00 ,388,1940,23.28,1.20%,0,
2001920365,Neptune,000010,Aquilon,1000017023,Company X,00014526,Damien Girard,SENIOR MANAGER,1/15/2025,12,1/27/2025,1/27/2025, 5.00 ,388,1940,23.28,1.20%,0,
2001920365,Neptune,000010,Aquilon,1000017023,Company X,00014526,Damien Girard,SENIOR MANAGER,1/16/2025,11,1/27/2025,1/27/2025, 5.00 ,388,1940,23.28,1.20%,0,
2001920365,Neptune,000010,Aquilon,1000017023,Company X,00014526,Damien Girard,SENIOR MANAGER,1/17/2025,10,1/27/2025,1/27/2025, 5.00 ,388,1940,23.28,1.20%,0,
2001920365,Neptune,000010,Aquilon,1000017023,Company X,00014526,Damien Girard,SENIOR MANAGER,1/20/2025,7,1/27/2025,1/27/2025, 15.00 ,388,5820,23.28,0.40%,0,
2001920365,Neptune,000010,Aquilon,1000017023,Company X,00014526,Damien Girard,SENIOR MANAGER,1/21/2025,6,1/27/2025,1/27/2025, 15.00 ,388,5820,23.28,0.40%,0,
2001920365,Neptune,000010,Aquilon,1000017023,Company X,00014529,Gaëlle Petit,SENIOR MANAGER,1/20/2025,7,1/27/2025,1/27/2025, 8.00 ,388,3104,23.28,0.75%,0,
2001920365,Neptune,000010,Aquilon,1000017023,Company X,00014529,Gaëlle Petit,SENIOR MANAGER,1/21/2025,6,1/27/2025,1/27/2025, 7.50 ,388,2910,23.28,0.80%,0,
2001920365,Neptune,000010,Aquilon,1000017023,Company X,00014529,Gaëlle Petit,SENIOR MANAGER,1/22/2025,5,1/27/2025,1/27/2025, 9.00 ,388,3492,23.28,0.67%,0,
2001920365,Neptune,000010,Aquilon,1000017023,Company X,00014529,Gaëlle Petit,SENIOR MANAGER,1/23/2025,4,1/27/2025,1/27/2025, 7.00 ,388,2716,23.28,0.86%,0,
2001920365,Neptune,000010,Aquilon,1000017023,Company X,00014529,Gaëlle Petit,SENIOR MANAGER,1/24/2025,3,1/27/2025,1/27/2025, 3.50 ,388,1358,23.28,1.71%,0,
2001920365,Neptune,000010,Mars  ,1000017023,Company X,00014525,Camille Moreau,MANAGER,1/21/2025,6,1/27/2025,1/27/2025, 2.00 ,256,512,15.36,3.00%,0,
2001920365,Neptune,000010,Mars  ,1000017023,Company X,00014525,Camille Moreau,MANAGER,1/22/2025,5,1/27/2025,1/27/2025, 1.00 ,256,256,15.36,6.00%,0,
